id,title,author,rd,ca,cs,img,created_at,updated_at,size,app_type
73,Resident Evil 4,"CAPCOM Co., Ltd.",2023-03-24,None,0,https://cdn.akamai.steamstatic.com/steam/apps/2050650/header.jpg?t=1678403591,,,0,0
74,Resident Evil Village,"CAPCOM Co., Ltd.",2021-05-07,Empress,1,https://cdn.akamai.steamstatic.com/steam/apps/1196590/header.jpg?t=1671167205,,,27.5,0
75,Resident Evil 3,"CAPCOM Co., Ltd.",2020-04-03,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/952060/header.jpg?t=1656993754,,,45,0
76,Resident Evil 2,"CAPCOM Co., Ltd.",2019-06-25,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/883710/header.jpg?t=1671156517,,,26,0
77,Resident Evil 7 Biohazard,"CAPCOM Co., Ltd.",2017-06-24,CPY,1,https://cdn.akamai.steamstatic.com/steam/apps/418370/header.jpg?t=1674611574,,,24,0
78,Resident Evil ,"CAPCOM Co., Ltd.",2015-01-20,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/304240/header.jpg?t=1650860007,,,20,0
79,Resident Evil 5,"CAPCOM Co., Ltd.",2009-09-15,CODEX-PLAZA,1,https://cdn.akamai.steamstatic.com/steam/apps/21690/header.jpg?t=1677549613,,,15,0
80,Resident Evil 6,"CAPCOM Co., Ltd.",2013-03-22,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/221040/header.jpg?t=1677550018,,,16,0
81,Resident Evil 0,"CAPCOM Co., Ltd.",2016-01-19,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/339340/header.jpg?t=1659074657,,,13,0
82,Resident Evil 4 HD,"CAPCOM Co., Ltd.",2014-02-28,ALI213,1,https://cdn.akamai.steamstatic.com/steam/apps/254700/header.jpg?t=1677549456,,,15,0
83,Resident Evil Revelations 2,"CAPCOM Co., Ltd.",2015-02-25,3DM,1,https://cdn.akamai.steamstatic.com/steam/apps/287290/header.jpg?t=1650867489,,,25,0
84,Resident Evil Revelations ,"CAPCOM Co., Ltd.",2013-05-20,FAIRLIGHT,1,https://cdn.akamai.steamstatic.com/steam/apps/222480/header.jpg?t=1650866953,,,8,0
85,Resident Evil Re:Verse,"CAPCOM Co., Ltd.",2022-10-28,None,0,https://cdn.akamai.steamstatic.com/steam/apps/1236300/header.jpg?t=1670980054,,,40,0
86,Resident Evil Operation Raccoon City,"Slant Six Games | CAPCOM Co., Ltd.",2012-05-18,Skidrow,1,https://cdn.akamai.steamstatic.com/steam/apps/209100/header.jpg?t=1636428334,,,8,0
87,American Truck Simulator,SCS Software,2016-02-02,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/270880/header.jpg?t=1675771014,,,7,0
88,Euro Truck Simulator 2,SCS Software,2012-10-18,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/227300/header.jpg?t=1677839068,,,12,0
89,Friday the 13th: The Game,IllFonic | Gun Media,2017-05-26,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/438740/header.jpg?t=1591725284,,,4,0
90,Left 4 Dead 2,Turtle Rock Studios | Valve,2009-11-17,SSE,1,https://cdn.akamai.steamstatic.com/steam/apps/550/header.jpg?t=1675801903,,,13,0
